date,state,cases_recovered,cases_active
25/1/2020,Johor,0,4
25/1/2020,Kedah,0,0
25/1/2020,Kelantan,0,0
25/1/2020,Melaka,0,0
25/1/2020,Negeri Sembilan,0,0
25/1/2020,Pahang,0,0
25/1/2020,Perak,0,0
25/1/2020,Perlis,0,0
25/1/2020,Pulau Pinang,0,0
25/1/2020,Sabah,0,0
25/1/2020,Sarawak,0,0
25/1/2020,Selangor,0,0
25/1/2020,Terengganu,0,0
25/1/2020,W.P. Kuala Lumpur,0,0
25/1/2020,W.P. Labuan,0,0
25/1/2020,W.P. Putrajaya,0,0
26/1/2020,Johor,0,4
26/1/2020,Kedah,0,0
26/1/2020,Kelantan,0,0
26/1/2020,Melaka,0,0
26/1/2020,Negeri Sembilan,0,0
26/1/2020,Pahang,0,0
26/1/2020,Perak,0,0
26/1/2020,Perlis,0,0
26/1/2020,Pulau Pinang,0,0
26/1/2020,Sabah,0,0
26/1/2020,Sarawak,0,0
26/1/2020,Selangor,0,0
26/1/2020,Terengganu,0,0
26/1/2020,W.P. Kuala Lumpur,0,0
26/1/2020,W.P. Labuan,0,0
26/1/2020,W.P. Putrajaya,0,0
27/1/2020,Johor,0,4
27/1/2020,Kedah,0,0
27/1/2020,Kelantan,0,0
27/1/2020,Melaka,0,0
27/1/2020,Negeri Sembilan,0,0
27/1/2020,Pahang,0,0
27/1/2020,Perak,0,0
27/1/2020,Perlis,0,0
27/1/2020,Pulau Pinang,0,0
27/1/2020,Sabah,0,0
27/1/2020,Sarawak,0,0
27/1/2020,Selangor,0,0
27/1/2020,Terengganu,0,0
27/1/2020,W.P. Kuala Lumpur,0,0
27/1/2020,W.P. Labuan,0,0
27/1/2020,W.P. Putrajaya,0,0
28/1/2020,Johor,0,4
28/1/2020,Kedah,0,0
28/1/2020,Kelantan,0,0
28/1/2020,Melaka,0,0
28/1/2020,Negeri Sembilan,0,0
28/1/2020,Pahang,0,0
28/1/2020,Perak,0,0
28/1/2020,Perlis,0,0
28/1/2020,Pulau Pinang,0,0
28/1/2020,Sabah,0,0
28/1/2020,Sarawak,0,0
28/1/2020,Selangor,0,0
28/1/2020,Terengganu,0,0
28/1/2020,W.P. Kuala Lumpur,0,0
28/1/2020,W.P. Labuan,0,0
28/1/2020,W.P. Putrajaya,0,0
29/1/2020,Johor,0,6
29/1/2020,Kedah,0,1
29/1/2020,Kelantan,0,0
29/1/2020,Melaka,0,0
29/1/2020,Negeri Sembilan,0,0
29/1/2020,Pahang,0,0
29/1/2020,Perak,0,0
29/1/2020,Perlis,0,0
29/1/2020,Pulau Pinang,0,0
29/1/2020,Sabah,0,0
29/1/2020,Sarawak,0,0
29/1/2020,Selangor,0,0
29/1/2020,Terengganu,0,0
29/1/2020,W.P. Kuala Lumpur,0,0
29/1/2020,W.P. Labuan,0,0
29/1/2020,W.P. Putrajaya,0,0
30/1/2020,Johor,0,7
30/1/2020,Kedah,0,1
30/1/2020,Kelantan,0,0
30/1/2020,Melaka,0,0
30/1/2020,Negeri Sembilan,0,0
30/1/2020,Pahang,0,0
30/1/2020,Perak,0,0
30/1/2020,Perlis,0,0
30/1/2020,Pulau Pinang,0,0
30/1/2020,Sabah,0,0
30/1/2020,Sarawak,0,0
30/1/2020,Selangor,0,0
30/1/2020,Terengganu,0,0
30/1/2020,W.P. Kuala Lumpur,0,0
30/1/2020,W.P. Labuan,0,0
30/1/2020,W.P. Putrajaya,0,0
31/1/2020,Johor,0,7
31/1/2020,Kedah,0,1
31/1/2020,Kelantan,0,0
31/1/2020,Melaka,0,0
31/1/2020,Negeri Sembilan,0,0
31/1/2020,Pahang,0,0
31/1/2020,Perak,0,0
31/1/2020,Perlis,0,0
31/1/2020,Pulau Pinang,0,0
31/1/2020,Sabah,0,0
31/1/2020,Sarawak,0,0
31/1/2020,Selangor,0,0
31/1/2020,Terengganu,0,0
31/1/2020,W.P. Kuala Lumpur,0,0
31/1/2020,W.P. Labuan,0,0
31/1/2020,W.P. Putrajaya,0,0
1/2/2020,Johor,0,7
1/2/2020,Kedah,0,1
1/2/2020,Kelantan,0,0
1/2/2020,Melaka,0,0
1/2/2020,Negeri Sembilan,0,0
1/2/2020,Pahang,0,0
1/2/2020,Perak,0,0
1/2/2020,Perlis,0,0
1/2/2020,Pulau Pinang,0,0
1/2/2020,Sabah,0,0
1/2/2020,Sarawak,0,0
1/2/2020,Selangor,0,0
1/2/2020,Terengganu,0,0
1/2/2020,W.P. Kuala Lumpur,0,0
1/2/2020,W.P. Labuan,0,0
1/2/2020,W.P. Putrajaya,0,0
2/2/2020,Johor,0,7
2/2/2020,Kedah,0,1
2/2/2020,Kelantan,0,0
2/2/2020,Melaka,0,0
2/2/2020,Negeri Sembilan,0,0
2/2/2020,Pahang,0,0
2/2/2020,Perak,0,0
2/2/2020,Perlis,0,0
2/2/2020,Pulau Pinang,0,0
2/2/2020,Sabah,0,0
2/2/2020,Sarawak,0,0
2/2/2020,Selangor,0,0
2/2/2020,Terengganu,0,0
2/2/2020,W.P. Kuala Lumpur,0,0
2/2/2020,W.P. Labuan,0,0
2/2/2020,W.P. Putrajaya,0,0
3/2/2020,Johor,0,7
3/2/2020,Kedah,0,1
3/2/2020,Kelantan,0,0
3/2/2020,Melaka,0,0
3/2/2020,Negeri Sembilan,0,0
3/2/2020,Pahang,0,0
3/2/2020,Perak,0,0
3/2/2020,Perlis,0,0
3/2/2020,Pulau Pinang,0,0
3/2/2020,Sabah,0,0
3/2/2020,Sarawak,0,0
3/2/2020,Selangor,0,0
3/2/2020,Terengganu,0,0
3/2/2020,W.P. Kuala Lumpur,0,0
3/2/2020,W.P. Labuan,0,0
3/2/2020,W.P. Putrajaya,0,0
4/2/2020,Johor,0,7
4/2/2020,Kedah,0,1
4/2/2020,Kelantan,0,0
4/2/2020,Melaka,0,0
4/2/2020,Negeri Sembilan,0,0
4/2/2020,Pahang,0,0
4/2/2020,Perak,0,0
4/2/2020,Perlis,0,0
4/2/2020,Pulau Pinang,0,0
4/2/2020,Sabah,0,0
4/2/2020,Sarawak,0,0
4/2/2020,Selangor,0,1
4/2/2020,Terengganu,0,0
4/2/2020,W.P. Kuala Lumpur,0,1
4/2/2020,W.P. Labuan,0,0
4/2/2020,W.P. Putrajaya,0,0
5/2/2020,Johor,0,7
5/2/2020,Kedah,1,0
5/2/2020,Kelantan,0,0
5/2/2020,Melaka,0,0
5/2/2020,Negeri Sembilan,0,2
5/2/2020,Pahang,0,0
5/2/2020,Perak,0,0
5/2/2020,Perlis,0,0
5/2/2020,Pulau Pinang,0,0
5/2/2020,Sabah,0,0
5/2/2020,Sarawak,0,0
5/2/2020,Selangor,0,1
5/2/2020,Terengganu,0,0
5/2/2020,W.P. Kuala Lumpur,0,1
5/2/2020,W.P. Labuan,0,0
5/2/2020,W.P. Putrajaya,0,0
6/2/2020,Johor,0,7
6/2/2020,Kedah,0,1
6/2/2020,Kelantan,0,0
6/2/2020,Melaka,0,0
6/2/2020,Negeri Sembilan,0,2
6/2/2020,Pahang,0,0
6/2/2020,Perak,0,0
6/2/2020,Perlis,0,0
6/2/2020,Pulau Pinang,0,0
6/2/2020,Sabah,0,0
6/2/2020,Sarawak,0,0
6/2/2020,Selangor,0,1
6/2/2020,Terengganu,0,0
6/2/2020,W.P. Kuala Lumpur,0,2
6/2/2020,W.P. Labuan,0,0
6/2/2020,W.P. Putrajaya,0,0
7/2/2020,Johor,0,8
7/2/2020,Kedah,0,1
7/2/2020,Kelantan,0,0
7/2/2020,Melaka,0,0
7/2/2020,Negeri Sembilan,0,2
7/2/2020,Pahang,0,0
7/2/2020,Perak,0,0
7/2/2020,Perlis,0,0
7/2/2020,Pulau Pinang,0,0
7/2/2020,Sabah,0,0
7/2/2020,Sarawak,0,0
7/2/2020,Selangor,0,1
7/2/2020,Terengganu,0,0
7/2/2020,W.P. Kuala Lumpur,0,2
7/2/2020,W.P. Labuan,0,0
7/2/2020,W.P. Putrajaya,0,0
8/2/2020,Johor,1,7
8/2/2020,Kedah,0,1
8/2/2020,Kelantan,0,0
8/2/2020,Melaka,0,0
8/2/2020,Negeri Sembilan,0,2
8/2/2020,Pahang,0,0
8/2/2020,Perak,0,0
8/2/2020,Perlis,0,0
8/2/2020,Pulau Pinang,0,0
8/2/2020,Sabah,0,0
8/2/2020,Sarawak,0,0
8/2/2020,Selangor,0,1
8/2/2020,Terengganu,0,0
8/2/2020,W.P. Kuala Lumpur,0,3
8/2/2020,W.P. Labuan,0,0
8/2/2020,W.P. Putrajaya,0,0
9/2/2020,Johor,0,7
9/2/2020,Kedah,0,1
9/2/2020,Kelantan,0,0
9/2/2020,Melaka,0,0
9/2/2020,Negeri Sembilan,0,2
9/2/2020,Pahang,0,0
9/2/2020,Perak,0,0
9/2/2020,Perlis,0,0
9/2/2020,Pulau Pinang,0,0
9/2/2020,Sabah,0,0
9/2/2020,Sarawak,0,0
9/2/2020,Selangor,0,2
9/2/2020,Terengganu,0,0
9/2/2020,W.P. Kuala Lumpur,1,2
9/2/2020,W.P. Labuan,0,0
9/2/2020,W.P. Putrajaya,0,0
10/2/2020,Johor,0,7
10/2/2020,Kedah,0,1
10/2/2020,Kelantan,0,0
10/2/2020,Melaka,0,0
10/2/2020,Negeri Sembilan,0,2
10/2/2020,Pahang,0,0
10/2/2020,Perak,0,0
10/2/2020,Perlis,0,0
10/2/2020,Pulau Pinang,0,0
10/2/2020,Sabah,0,0
10/2/2020,Sarawak,0,0
10/2/2020,Selangor,0,3
10/2/2020,Terengganu,0,0
10/2/2020,W.P. Kuala Lumpur,0,2
10/2/2020,W.P. Labuan,0,0
10/2/2020,W.P. Putrajaya,0,0
11/2/2020,Johor,0,7
11/2/2020,Kedah,0,1
11/2/2020,Kelantan,0,0
11/2/2020,Melaka,0,0
11/2/2020,Negeri Sembilan,0,2
11/2/2020,Pahang,0,0
11/2/2020,Perak,0,0
11/2/2020,Perlis,0,0
11/2/2020,Pulau Pinang,0,0
11/2/2020,Sabah,0,0
11/2/2020,Sarawak,0,0
11/2/2020,Selangor,0,3
11/2/2020,Terengganu,0,0
11/2/2020,W.P. Kuala Lumpur,0,2
11/2/2020,W.P. Labuan,0,0
11/2/2020,W.P. Putrajaya,0,0
12/2/2020,Johor,0,7
12/2/2020,Kedah,0,1
12/2/2020,Kelantan,0,0
12/2/2020,Melaka,0,0
12/2/2020,Negeri Sembilan,0,2
12/2/2020,Pahang,0,0
12/2/2020,Perak,0,0
12/2/2020,Perlis,0,0
12/2/2020,Pulau Pinang,0,0
12/2/2020,Sabah,0,0
12/2/2020,Sarawak,0,0
12/2/2020,Selangor,0,3
12/2/2020,Terengganu,0,0
12/2/2020,W.P. Kuala Lumpur,0,2
12/2/2020,W.P. Labuan,0,0
12/2/2020,W.P. Putrajaya,0,0
13/2/2020,Johor,0,7
13/2/2020,Kedah,0,1
13/2/2020,Kelantan,0,0
13/2/2020,Melaka,0,0
13/2/2020,Negeri Sembilan,0,2
13/2/2020,Pahang,0,0
13/2/2020,Perak,0,0
13/2/2020,Perlis,0,0
13/2/2020,Pulau Pinang,0,0
13/2/2020,Sabah,0,0
13/2/2020,Sarawak,0,0
13/2/2020,Selangor,0,3
13/2/2020,Terengganu,0,0
13/2/2020,W.P. Kuala Lumpur,0,2
13/2/2020,W.P. Labuan,0,0
13/2/2020,W.P. Putrajaya,0,0
14/2/2020,Johor,4,3
14/2/2020,Kedah,0,1
14/2/2020,Kelantan,0,0
14/2/2020,Melaka,0,0
14/2/2020,Negeri Sembilan,0,2
14/2/2020,Pahang,0,0
14/2/2020,Perak,0,0
14/2/2020,Perlis,0,0
14/2/2020,Pulau Pinang,0,0
14/2/2020,Sabah,0,0
14/2/2020,Sarawak,0,0
14/2/2020,Selangor,0,3
14/2/2020,Terengganu,0,0
14/2/2020,W.P. Kuala Lumpur,0,3
14/2/2020,W.P. Labuan,0,0
14/2/2020,W.P. Putrajaya,0,0
15/2/2020,Johor,1,2
15/2/2020,Kedah,0,2
15/2/2020,Kelantan,0,0
15/2/2020,Melaka,0,0
15/2/2020,Negeri Sembilan,0,2
15/2/2020,Pahang,0,0
15/2/2020,Perak,0,0
15/2/2020,Perlis,0,0
15/2/2020,Pulau Pinang,0,0
15/2/2020,Sabah,0,0
15/2/2020,Sarawak,0,0
15/2/2020,Selangor,0,5
15/2/2020,Terengganu,0,0
15/2/2020,W.P. Kuala Lumpur,0,3
15/2/2020,W.P. Labuan,0,0
15/2/2020,W.P. Putrajaya,0,0
16/2/2020,Johor,0,2
16/2/2020,Kedah,0,2
16/2/2020,Kelantan,0,0
16/2/2020,Melaka,0,0
16/2/2020,Negeri Sembilan,0,2
