case_type,date,count
Vaccinated Cases per 10000,"Sunday, 4 April, 2021",0.153658218
Unvaccinated Cases per 10000,"Monday, 5 April, 2021",0.329937889
Vaccinated Cases per 10000,"Monday, 5 April, 2021",0.188735866
Unvaccinated Cases per 10000,"Tuesday, 6 April, 2021",0.401354717
Vaccinated Cases per 10000,"Tuesday, 6 April, 2021",0.203375666
Unvaccinated Cases per 10000,"Wednesday, 7 April, 2021",0.34949456
Vaccinated Cases per 10000,"Wednesday, 7 April, 2021",0.307083144
Unvaccinated Cases per 10000,"Thursday, 8 April, 2021",0.396367763
Vaccinated Cases per 10000,"Thursday, 8 April, 2021",0.229807439
Unvaccinated Cases per 10000,"Friday, 9 April, 2021",0.56756942
Vaccinated Cases per 10000,"Friday, 9 April, 2021",0.575997654
Unvaccinated Cases per 10000,"Saturday, 10 April, 2021",0.466044134
Vaccinated Cases per 10000,"Saturday, 10 April, 2021",0.259249593
Unvaccinated Cases per 10000,"Sunday, 11 April, 2021",0.536705043
Vaccinated Cases per 10000,"Sunday, 11 April, 2021",0.304532458
Unvaccinated Cases per 10000,"Monday, 12 April, 2021",0.408231317
Vaccinated Cases per 10000,"Monday, 12 April, 2021",0.145999137
Unvaccinated Cases per 10000,"Tuesday, 13 April, 2021",0.548965917
Vaccinated Cases per 10000,"Tuesday, 13 April, 2021",0.142123066
Unvaccinated Cases per 10000,"Wednesday, 14 April, 2021",0.584009538
Vaccinated Cases per 10000,"Wednesday, 14 April, 2021",0.305717841
Unvaccinated Cases per 10000,"Thursday, 15 April, 2021",0.666253991
Vaccinated Cases per 10000,"Thursday, 15 April, 2021",0.252862929
Unvaccinated Cases per 10000,"Friday, 16 April, 2021",0.791387378
Vaccinated Cases per 10000,"Friday, 16 April, 2021",0.305264948
Unvaccinated Cases per 10000,"Saturday, 17 April, 2021",0.721513454
Vaccinated Cases per 10000,"Saturday, 17 April, 2021",0.358935484
Unvaccinated Cases per 10000,"Sunday, 18 April, 2021",0.680343788
Vaccinated Cases per 10000,"Sunday, 18 April, 2021",0.298861338
Unvaccinated Cases per 10000,"Monday, 19 April, 2021",0.64516614
Vaccinated Cases per 10000,"Monday, 19 April, 2021",0.247477108
Unvaccinated Cases per 10000,"Tuesday, 20 April, 2021",0.727724599
Vaccinated Cases per 10000,"Tuesday, 20 April, 2021",0.253527705
Unvaccinated Cases per 10000,"Wednesday, 21 April, 2021",0.726518314
Vaccinated Cases per 10000,"Wednesday, 21 April, 2021",0.300548305
Unvaccinated Cases per 10000,"Thursday, 22 April, 2021",0.891226035
Vaccinated Cases per 10000,"Thursday, 22 April, 2021",0.436084729
Unvaccinated Cases per 10000,"Friday, 23 April, 2021",0.88183939
Vaccinated Cases per 10000,"Friday, 23 April, 2021",0.467238381
Unvaccinated Cases per 10000,"Saturday, 24 April, 2021",0.839997913
Vaccinated Cases per 10000,"Saturday, 24 April, 2021",0.512578168
Unvaccinated Cases per 10000,"Sunday, 25 April, 2021",0.834586495
Vaccinated Cases per 10000,"Sunday, 25 April, 2021",0.395553484
Unvaccinated Cases per 10000,"Monday, 26 April, 2021",0.862796666
Vaccinated Cases per 10000,"Monday, 26 April, 2021",0.361286469
Unvaccinated Cases per 10000,"Tuesday, 27 April, 2021",0.847694566
Vaccinated Cases per 10000,"Tuesday, 27 April, 2021",0.433665576
Unvaccinated Cases per 10000,"Wednesday, 28 April, 2021",0.97522034
Vaccinated Cases per 10000,"Wednesday, 28 April, 2021",0.488821894
Unvaccinated Cases per 10000,"Thursday, 29 April, 2021",1.03333352
Vaccinated Cases per 10000,"Thursday, 29 April, 2021",0.552961277
Unvaccinated Cases per 10000,"Friday, 30 April, 2021",1.174686125
Vaccinated Cases per 10000,"Friday, 30 April, 2021",0.641637636
Unvaccinated Cases per 10000,"Saturday, 1 May, 2021",0.890072264
Vaccinated Cases per 10000,"Saturday, 1 May, 2021",0.606482303
Unvaccinated Cases per 10000,"Sunday, 2 May, 2021",1.061035667
Vaccinated Cases per 10000,"Sunday, 2 May, 2021",0.546729519
Unvaccinated Cases per 10000,"Monday, 3 May, 2021",0.778106382
Vaccinated Cases per 10000,"Monday, 3 May, 2021",0.340761944
Unvaccinated Cases per 10000,"Tuesday, 4 May, 2021",0.966299897
Vaccinated Cases per 10000,"Tuesday, 4 May, 2021",0.598422435
Unvaccinated Cases per 10000,"Wednesday, 5 May, 2021",1.1602951
Vaccinated Cases per 10000,"Wednesday, 5 May, 2021",0.709035711
Unvaccinated Cases per 10000,"Thursday, 6 May, 2021",1.102198083
Vaccinated Cases per 10000,"Thursday, 6 May, 2021",0.635554049
Unvaccinated Cases per 10000,"Friday, 7 May, 2021",1.399025766
Vaccinated Cases per 10000,"Friday, 7 May, 2021",0.737742731
Unvaccinated Cases per 10000,"Saturday, 8 May, 2021",1.409992625
Vaccinated Cases per 10000,"Saturday, 8 May, 2021",0.624105716
Unvaccinated Cases per 10000,"Sunday, 9 May, 2021",1.161957358
Vaccinated Cases per 10000,"Sunday, 9 May, 2021",0.609594844
Unvaccinated Cases per 10000,"Monday, 10 May, 2021",1.181087916
Vaccinated Cases per 10000,"Monday, 10 May, 2021",0.746367102
Unvaccinated Cases per 10000,"Tuesday, 11 May, 2021",1.23751779
Vaccinated Cases per 10000,"Tuesday, 11 May, 2021",0.65944936
Unvaccinated Cases per 10000,"Wednesday, 12 May, 2021",1.48646341
Vaccinated Cases per 10000,"Wednesday, 12 May, 2021",0.73753915
Unvaccinated Cases per 10000,"Thursday, 13 May, 2021",1.509034342
Vaccinated Cases per 10000,"Thursday, 13 May, 2021",0.896695635
Unvaccinated Cases per 10000,"Friday, 14 May, 2021",1.270985685
Vaccinated Cases per 10000,"Friday, 14 May, 2021",0.95530913
Unvaccinated Cases per 10000,"Saturday, 15 May, 2021",1.275857008
Vaccinated Cases per 10000,"Saturday, 15 May, 2021",1.055052121
Unvaccinated Cases per 10000,"Sunday, 16 May, 2021",1.168451677
Vaccinated Cases per 10000,"Sunday, 16 May, 2021",0.873304882
Unvaccinated Cases per 10000,"Monday, 17 May, 2021",1.377552021
Vaccinated Cases per 10000,"Monday, 17 May, 2021",0.954820157
Unvaccinated Cases per 10000,"Tuesday, 18 May, 2021",1.508054894
Vaccinated Cases per 10000,"Tuesday, 18 May, 2021",1.044734769
Unvaccinated Cases per 10000,"Wednesday, 19 May, 2021",1.88601929
